id;latitude;region;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
339;629986;2432417;0.665397487;1.701499468;7;0.200273223;0.158125911;1.422569421;0.565685425
1243;274963;2272327;-0.776625838;1.788021313;9;0.26535674;0.330465704;0.760906535;0.437415846
3152;508322;2480134;-0.714826033;1.89591738;7;0.154441121;0.205251671;0.95540975;0.432845612
1669;622774;2428847;0.9055724;1.976231282;6;0.171541177;0.340560555;1.508709273;0.880446015
2458;600429;2441275;1.918731696;2.081302144;6;0.154375604;0.18907719;0.785105008;0.341387266
1528;993784;1884436;0.140674181;2.180221865;10;0.26210056;0.284802851;0.675165632;0.360315125
971;541573;2298549;-0.166246523;2.18702582;10;0.263321888;0.225016504;1.300437436;0.616874261
1919;657667;1924794;-0.541447617;2.218470453;10;0.272695034;0.259876312;0.709934089;0.361910662
214;881581;2071155;-0.467127528;2.331154182;3;0.189777696;0.400099306;2.176788219;1.376892637
826;584085;2409655;1.734877369;2.38020275;9;0.181057318;0.407426967;1.229992648;0.785104381
347;1001046;2406070;0.466378223;2.578579469;9;0.209554248;0.556078267;1.380209577;1.02923133
2837;649318;2629551;2.645031988;2.584864909;9;0.149658492;0.432041539;1.249380059;0.821215849
349;595574;2635380;2.007339669;2.710098062;8;0.129155821;0.528014018;1.497164133;1.087907926
1189;821909;1853813;0.049590079;2.721244072;7;0.289518323;0.385866378;0.492683113;0.306045604
1345;578825;2446438;1.391410293;2.815636563;7;0.20167906;0.3649107;0.908457184;0.548779352
2251;586387;2409917;2.02435248;2.824859344;7;0.197357878;0.142998949;1.344616276;0.50846936
2037;583670;2449994;1.890684195;2.871486068;6;0.170788716;0.33395251;1.406485135;0.81278841
168;843015;2067255;-0.460612922;2.886242558;9;0.258203527;0.203487855;1.65296661;0.74564709
2961;854691;1849031;0.880430952;2.916794755;7;0.248037468;0.322444042;0.907132283;0.515107414
356;432836;2332928;0.082634681;2.926130368;9;0.202270785;0.186318312;0.748089659;0.322909946
379;313254;2346107;2.10412884;2.947568573;10;0.185878573;0.06618446;0.941296147;0.242161052
265;522580;2289485;1.36379782;3.001511066;11;0.265691115;0.49590522;1.326372332;0.934038534
1633;730109;2364063;1.590975984;3.003376536;9;0.246506648;0.159170675;1.470458843;0.586657197
2244;367823;1978746;0.779768348;3.044771653;5;0.170907483;0.28256094;1.082368978;0.575349049
2076;621884;2148065;-1.261979465;3.14288046;13;0.26685336;0.296586619;0.953795633;0.519434876
3765;335554;2134293;1.555677065;3.244663537;5;0.191954996;0.259587754;0.755450501;0.384900179
664;613080;2411694;2.739936468;3.355613938;8;0.177069369;0.260270614;1.036308662;0.528690731
59;369926;1881190;1.180535892;3.392877365;11;0.285990201;0.18871444;1.244920209;0.540809216
3553;581466;2512572;1.578109577;3.418038861;7;0.150662879;0.437356704;0.98134788;0.6489943
1005;527103;1854451;1.540909179;3.521356879;13;0.285717219;0.330241313;0.9478043;0.544671155
1674;519047;2092815;-0.135469683;3.558466858;7;0.24261899;0.257769229;1.051181925;0.533695352
916;994117;2411785;1.605262923;3.560373665;11;0.239246476;0.220679851;1.654169506;0.777072163
3034;768883;1871944;1.257670212;3.721135354;9;0.261059807;0.145047588;1.07007403;0.40753891
4020;647739;2146576;0.068494145;3.8836634;9;0.271258868;0.246899633;0.925203547;0.459724354
2284;364370;1985519;0.678263828;4.047647162;8;0.284781422;0.27997567;1.463913713;0.774596669
3981;357406;2026378;2.572773175;4.051165145;12;0.280429911;0.18510358;1.391104703;0.598504235
1175;199455;2333131;1.395830514;4.16794063;5;0.237747225;0.381564615;1.412771837;0.872682115
2838;449838;2175496;1.553028297;4.226291533;9;0.251455838;0.28787574;0.739452105;0.396746024
590;509650;2495646;1.954023907;4.519050035;3;0.120092519;0.819737071;1.27748174;1.156623438
3807;612386;2416560;2.489615011;4.565823246;4;0.147099228;0.168759137;1.179331376;0.484472914
2959;293838;1847602;1.759196726;4.718269419;8;0.223605685;0.076140757;0.912323008;0.251742896
1819;548804;2635518;1.938446664;4.757952198;6;0.1774257;0.209662098;1.017213242;0.465770489
2472;620153;2147786;-0.218312661;4.806750786;4;0.148892525;0.105394787;1.778401466;0.577350269
1738;903134;2368656;0.424072134;4.863548028;6;0.232252956;0.303477989;1.572052454;0.866025404
2780;594359;2433293;3.05641524;5.046818556;5;0.15559261;0.567669366;1.345745066;1.013935959
1013;562229;2321058;1.780844306;5.105192678;12;0.295269491;0.127365598;0.969988263;0.346172487
602;304384;2253910;1.994573074;5.211483179;4;0.173087525;0.381049961;0.932523318;0.575639598
3069;888320;2419741;0.841306894;5.211941297;11;0.179766767;0.106947874;1.01556481;0.332119
2366;280328;2412946;2.578095127;5.308634224;4;0.173979891;0.310233794;0.88840459;0.49482923
