id;longitude;latitude;region;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
C58T7;315412.564;2470197.636;1;-1.707871344;-0.521094835;4;0.023209749;0.232640146;1.12867765;0.544392654
C59T9;325593.556;2485643.784;1;-1.61165585;-0.517405295;2;0.010843977;0.180515343;0.564204557;0.239714139
C86T7;603513.992;2370897.87;2;0.645330424;-0.512162433;3;0.004765112;0.96450997;1.322114407;1.298441532
C5T4;657043.3;2453408.963;2;1.160462503;-0.509884838;3;0.021524898;0.237590273;1.758485868;0.857142857
C85T8;591196.88;2386802.728;2;1.213071929;-0.487278151;3;0.016020795;0.178216186;0.611256748;0.258046064
C58T6;317592.582;2468439.625;1;-1.869124608;-0.476770057;3;0.017570994;0.992913983;1.519217346;1.513825177
C59T2;323062.558;2480928.74;1;-1.431930671;-0.458559798;2;0.005293786;0.916666667;0.571428571;0.547101204
C82T2;606877.102;2361501.99;2;1.569542928;-0.439975313;4;0.017914553;0.285710805;1.123335231;0.60044428
C10T6;654616.601;2394405.392;2;2.1330793;-0.426168842;2;0.007769;0.920053822;1.103322296;1.058300524
C81T2;597562.941;2376509.779;2;1.681659725;-0.394867569;3;0.008876776;0.93639232;1.355430598;1.311614493
C59T6;320419.509;2487365.774;1;-1.895782812;-0.393117709;3;0.004190331;0.681870288;0.678653713;0.560401273
C3T5;639138.479;2414211.022;2;0.857449348;-0.359059667;3;0.006803654;0.250116569;1.517712985;0.75903339
C84T8;614669.911;2383185.988;2;1.436908348;-0.351792468;3;0.001264917;0.656408596;0.709219002;0.574602476
C80T8;612190.953;2376084.977;2;0.364389862;-0.347954285;3;0.00925159;0.860391489;1.154230288;1.070632738
C58T10;319444.569;2473076.672;1;-1.174344967;-0.340704505;3;0.006106221;0.570498625;0.808123992;0.610387037
C59T1;323624.555;2482456.753;1;-1.747978678;-0.335289345;2;0.000560473;0.925925926;0.4;0.384900179
C62T4;352182.674;2472932.822;1;-0.528724445;-0.260207769;2;0.003865333;0.514718626;0.929231233;0.666666667
C87T5;609187.838;2390314.883;2;2.016872289;-0.251950564;3;0.007415481;0.962772306;1.205113697;1.182469145
C84T4;616895.903;2385997.014;2;2.06916062;-0.241374285;4;0.014698676;0.50391016;1.421963558;1.009404006
C86T8;603947.971;2372634.864;2;-0.049455266;-0.236877339;4;0.003636115;0.964494013;1.008374648;0.99031119
C87T3;606070.838;2388478.839;2;1.994773345;-0.228012124;3;0.008299595;0.777547969;1.249336347;1.101648305
C83T5;596863.873;2385522.758;2;1.031942171;-0.153293653;3;0.010529991;0.425212362;1.605944287;1.047209121
C5T9;652273.312;2444322.938;2;1.450849763;-0.080037092;3;0.007460463;0.369685247;1.262848693;0.767834071
C87T9;610327.893;2382970.919;2;1.138706235;-0.072763647;3;0.006265;0.221081755;0.706000597;0.331956763
C87T1;606980.865;2385006.86;2;0.723716935;-0.056201284;4;0.01438916;0.34671994;0.94976082;0.559246995
C84T5;615692.885;2387657.99;2;1.290466858;-0.013664621;4;0.006886988;0.460349573;0.744040268;0.504824371
C84T10;618994.923;2384612.053;2;1.785066683;-0.004412967;4;0.00606507;0.889996612;1.268449571;1.196650655
C1T2;663058.288;2435237.103;2;0.405388646;0.034271547;2;0.003398938;0.45141623;0.911437828;0.612372436
C4T10;663041.397;2415583.307;2;2.058293709;0.063230451;3;0.009288984;0.999559757;1.071112267;1.070876466
C85T1;592178.856;2390184.729;2;1.137722982;0.115627638;3;0.010608964;0.975690169;1.072212989;1.059100147
C57T10;332774.55;2491774.84;1;-1.858847268;0.17365526;3;0.005732143;0.192453054;0.536961303;0.235562087
C83T1;601684.871;2384037.8;2;0.955769229;0.18772425;3;0.006316902;0.929304896;1.453602365;1.401279387
C62T3;353415.671;2473651.829;1;-0.886717396;0.190895558;4;0.013178914;0.673694505;1.053587367;0.864772872
C82T1;606337.083;2363084.968;2;0.100104235;0.218778377;4;0.012597946;0.404772876;1.145574484;0.728834686
C87T7;611695.866;2387465.928;2;0.768746948;0.287759296;3;0.003665332;0.870021994;0.9983893;0.931247315
C10T3;654505.534;2399632.36;2;1.966095307;0.312648945;2;0.00745824;1;2;2
C62T2;353010.658;2475704.83;1;-0.989181868;0.332951661;2;0.004316111;0.323453022;1.172203826;0.666666667
C59T5;321848.529;2485568.769;1;-1.454244086;0.349260769;2;0.00300637;0.194157346;0.873516676;0.384900179
C6T1;644092.293;2445155.906;2;1.471809361;0.357741138;3;0.016989611;0.451621247;1.718233513;1.154700538
C85T9;591607.864;2388790.728;2;1.062649009;0.436567395;4;0.005396586;0.441382284;0.766319805;0.509116882
C57T7;336626.551;2492633.849;1;-1.717356142;0.50830638;3;0.011253094;0.624409866;1.732869101;1.369306394
C1T3;665209.302;2434550.152;2;0.209412274;0.514770106;3;0.010277524;0.707380084;1.289118189;1.084224334
C85T5;596154.878;2385134.755;2;1.443808476;0.514825867;5;0.00667942;0.471164739;0.942837732;0.647177404
C85T2;595377.844;2390869.744;2;1.722709679;0.555105838;4;0.009802605;0.269747232;0.94325067;0.489897949
C80T7;611856.965;2374748.981;2;0.235399513;0.661069254;3;0.005893014;0.976355146;1.210087153;1.195695404
C83T7;596566.898;2382117.761;2;1.234458341;0.708445732;5;0.012779066;0.260928418;1.18051895;0.603022689
C58T9;317077.554;2473703.673;1;-1.586505166;0.770307148;4;0.006886841;0.899845321;1.293790812;1.227292256
C1T9;662556.288;2434470.097;2;1.084317022;0.822173609;3;0.008455286;0.790211196;1.011348918;0.899026728
C62T7;347348.69;2468660.791;1;-0.621092105;0.842223185;5;0.023015552;0.110197246;0.883158422;0.293173009
C85T10;591241.858;2390572.725;2;0.929618026;0.920916944;3;0.020338806;0.842599651;0.919069662;0.843643701
C3T4;638325.496;2412129.027;2;1.265118492;0.930233376;2;0.00630432;0.703703704;1.2;1.006644591
C62T10;350251.662;2474631.816;1;-0.827683735;0.942678043;5;0.022846953;0.181906412;1.212446527;0.517114359
C80T2;608978.897;2381572.901;2;0.79286127;0.948869028;2;0.001865183;0.673469388;1.076923077;0.883778869
C2T2;634544.291;2449631.812;2;2.189856599;0.965767121;2;0.00321649;0.592573465;1.645986367;1.267060447
C83T3;598565.86;2386644.769;2;0.981864637;0.979820178;5;0.018845465;0.478774149;1.725078992;1.193642663
C83T6;598776.877;2384190.775;2;1.43573127;0.981344011;5;0.010830218;0.413122543;1.115056422;0.716698162
C82T10;606970.058;2365301.962;2;0.452150196;1.080568902;5;0.009149869;0.592756839;1.118990605;0.861518736
C84T7;613591.892;2385163.965;2;1.062836068;1.28524732;4;0.01261189;0.067766198;0.786243033;0.204674327
C6T3;648255.308;2444961.915;2;0.876163019;1.352868942;3;0.02127306;0.330846204;1.331627111;0.765941686
C6T5;651178.306;2448130.917;2;1.47194685;1.481280167;4;0.013394953;0.131562596;1.714185589;0.621761828
C6T8;653796.299;2455000.916;2;0.271680095;1.492424993;3;0.02057068;0.34062333;1.261039993;0.735980072
C80T6;610138.944;2376323.941;2;0.970794353;1.492980415;5;0.013969016;0.255401939;1.218629102;0.615862329
C58T8;314910.547;2472822.66;1;-1.012113484;1.701717735;4;0.004928;0.774490611;1.112372436;0.97894501
C86T10;604998.913;2377387.848;2;1.022632721;1.787755976;3;0.004657006;0.605410656;0.621106881;0.483271708
C57T5;334624.526;2496945.88;1;-0.051343423;1.973481115;2;0.006596198;0.686817352;1.096949629;0.909090909
C6T4;650344.308;2446340.919;2;1.232388794;2.329394713;4;0.016846;0.117537872;1.375006752;0.471404521
C80T5;609374.922;2378279.916;2;1.801399713;2.435162647;3;0.008299852;0.874422899;1.407407407;1.316074861
