id;longitude;latitude;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
63_839;643100;2086200;-2.62989524;-0.159281418;57;99.63885807;0.097394191;0.489939213;0.152900438
63_1073;623100;2076200;-2.696864506;-0.151669192;49;94.4276602;0.154004152;0.440207623;0.172752274
71_1014;785100;2188200;-1.9034205;-0.15012824;57;112.8879146;0.103276283;0.414154562;0.133095309
19_1307;535100;2010200;-2.987709198;-0.140413991;45;106.8342332;0.066839964;0.514082;0.13290781
34_376;717100;1858200;-1.694883612;-0.134037671;44;118.5161834;0.245415588;0.824535492;0.408470246
12_605;615100;1940200;-3.02487593;-0.113552439;55;115.753402;0.060088643;0.479209143;0.117468465
23_354;561100;2138200;-3.206227279;-0.108679273;44;108.8742579;0.114933222;0.430216385;0.145851109
44_817;313100;2274200;-1.562277679;-0.107469229;45;117.4708136;0.07393416;0.59009401;0.160451498
25_1146;883100;2218200;-2.843351905;-0.101000596;46;108.3623526;0.10862686;0.355393263;0.117132605
30_1045;787100;1880200;-0.093504207;-0.098913554;38;114.5665934;0.170536655;0.908617413;0.37522341
19_1024;527100;2026200;-2.630661418;-0.098267498;46;113.6137519;0.026561276;0.435742444;0.071015694
50_1180;341100;2420200;-0.646911448;-0.084204577;37;112.288828;0.180165853;0.35439806;0.150427618
87_950;495100;2082200;-2.701380811;-0.079028606;50;113.9316524;0.062058608;0.396952033;0.098886964
14_399;413100;2472200;-0.31725496;-0.060312106;49;106.987109;0.009096792;0.431562689;0.041161201
72_1170;441100;2316200;-1.002148774;-0.059058319;51;116.0902534;0.089479266;0.398457232;0.119190851
10_928;753100;2362200;-0.299923059;-0.051905923;57;104.4077727;0.053902645;0.472576645;0.109717851
5_925;889100;1960200;-1.885771801;-0.027041808;54;104.318181;0.035235224;0.542421019;0.101818109
63_781;627100;2088200;-2.652746052;-0.026606517;49;96.40685697;0.205203422;0.456639355;0.206854817
63_1189;655100;2072200;-2.68635399;-0.02303208;51;111.0626805;0.034941343;0.524383762;0.098020978
39_1098;873100;2164200;-2.769253078;-0.014442925;44;95.4337378;0.034949221;0.526581663;0.098442919
23_679;615100;2124200;-2.900728354;0.006061164;53;109.4558882;0.024941787;0.381142765;0.060193758
19_1354;567100;2008200;-2.622812863;0.013785119;53;103.9763472;0.145946416;0.479182073;0.183061611
